,equity
2024-07-03,640.1307744867387
2024-07-04,664.2274079669222
2024-07-05,668.5341226912349
2024-07-06,653.1228086050244
2024-07-07,672.0919589771324
2024-07-08,659.8074035617778
2024-07-09,657.4964012941971
2024-07-10,654.6353562310715
2024-07-11,656.4177282932586
2024-07-12,647.8128647640167
2024-07-13,637.2743899882051
2024-07-14,630.8426531475064
2024-07-15,624.2060510681855
2024-07-16,629.4018489767166
2024-07-17,632.69895717609
2024-07-18,627.7500975729254
2024-07-19,632.3603069220785
2024-07-20,635.8945024744972
2024-07-21,642.1402088905274
2024-07-22,635.4140349781599
2024-07-23,630.7044425843147
2024-07-24,630.9187397002515
2024-07-25,628.8097315900145
2024-07-26,630.6293307689973
2024-07-27,630.6000276375396
2024-07-28,631.0740354577288
2024-07-29,625.708882473334
2024-07-30,630.6607105106913
2024-07-31,630.1030798118595
2024-08-01,623.9147497973528
2024-08-02,625.8058816514498
2024-08-03,628.9914266961168
2024-08-04,638.6701052257257
2024-08-05,652.6172970047401
2024-08-06,645.4592566852114
2024-08-07,650.1214584594171
2024-08-08,628.4050307371016
2024-08-09,628.8284523726907
2024-08-10,627.6623787362671
2024-08-11,637.775897655835
2024-08-12,628.6183488915071
2024-08-13,628.0580323819746
2024-08-14,630.7577583115178
2024-08-15,635.2214811795683
2024-08-16,635.0465248511724
2024-08-17,630.4081266151176
2024-08-18,632.1972667740021
2024-08-19,627.4945787645407
2024-08-20,627.7898693423956
2024-08-21,622.1034747079761
2024-08-22,621.557017998316
2024-08-23,614.7543731196531
2024-08-24,610.9927985975976
2024-08-25,612.6918682808787
2024-08-26,611.3101429703662
2024-08-27,613.4324528466749
2024-08-28,613.0463323122274
2024-08-29,612.7759050855224
2024-08-30,612.7279317422638
2024-08-31,614.4848278848733
2024-09-01,623.6488923427652
2024-09-02,614.9601234840918
2024-09-03,622.38513011623
2024-09-04,621.3762365833419
2024-09-05,626.9394622577572
2024-09-06,636.2287722662263
2024-09-07,631.9494109468751
2024-09-08,628.246053321724
2024-09-09,622.4403668296593
2024-09-10,621.629870240316
2024-09-11,623.1502992447475
2024-09-12,614.7770855788345
2024-09-13,609.3437252725615
2024-09-14,610.7673698640963
2024-09-15,615.9706868610068
2024-09-16,617.3724035566892
2024-09-17,616.4144192597686
2024-09-18,614.2980044429246
2024-09-19,609.8167130141323
2024-09-20,606.7104079202139
2024-09-21,608.980931666364
2024-09-22,608.5054799665936
2024-09-23,612.6973832429745
2024-09-24,620.7405647093951
2024-09-25,616.3786505933551
2024-09-26,623.5451154948131
2024-09-27,625.9185138156049
2024-09-28,628.3653436738309
2024-09-29,628.2875169215655
2024-09-30,613.2644151755113
2024-10-01,599.0059461978877
2024-10-02,589.73207084596
2024-10-03,589.8053252223036
2024-10-04,588.6018430547724
2024-10-05,589.9457781278971
2024-10-06,589.4467903916071
2024-10-07,589.0371964501084
2024-10-08,591.0489406007005
2024-10-09,592.3542345327943
2024-10-10,590.4523992503506
2024-10-11,584.6309090416493
2024-10-12,583.4366038797898
2024-10-13,585.4327207585053
2024-10-14,582.477038756153
2024-10-15,580.618726795211
2024-10-16,579.9459539837059
2024-10-17,576.368705373038
2024-10-18,577.9744939698328
2024-10-19,577.9897641420953
2024-10-20,581.3453574746427
2024-10-21,577.7059139237471
2024-10-22,577.2680099381253
2024-10-23,570.8770713324633
2024-10-24,571.2722375281401
2024-10-25,573.1802523233256
2024-10-26,573.2742542286662
2024-10-27,574.0373895405216
2024-10-28,572.6643137561139
2024-10-29,569.9120452094866
2024-10-30,570.1134911908161
2024-10-31,561.6569839197175
2024-11-01,557.6847306186881
2024-11-02,557.4968012026354
2024-11-03,552.7089899588997
2024-11-04,557.038798209044
2024-11-05,551.9945873364585
2024-11-06,549.1123849499197
2024-11-07,554.6262571984978
2024-11-08,563.9765613347477
2024-11-09,573.9406161597839
2024-11-10,593.4783653096097
2024-11-11,609.6034340657753
2024-11-12,603.7112295276845
2024-11-13,601.7150957646459
2024-11-14,608.5936969434986
2024-11-15,642.8877609395371
2024-11-16,676.3765592489548
2024-11-17,665.8209636182744
2024-11-18,684.2201850620895
2024-11-19,678.4789560629417
2024-11-20,682.5585686221177
2024-11-21,716.3844410284762
2024-11-22,773.0065354712776
2024-11-23,783.8519377871385
2024-11-24,776.1582729310711
2024-11-25,755.4624861878199
2024-11-26,750.3985928464505
2024-11-27,781.4197072706851
2024-11-28,788.7049998275724
2024-11-29,826.94759932722
2024-11-30,847.5303576537013
2024-12-01,895.7753401722146
2024-12-02,968.0638374848984
2024-12-03,950.9988369707469
2024-12-04,935.4466349723876
2024-12-05,913.8904740548384
2024-12-06,957.5516454846081
2024-12-07,976.0963217724682
2024-12-08,976.2527727994334
2024-12-09,877.9226018146776
2024-12-10,894.2096048249515
2024-12-11,922.7013688734053
2024-12-12,937.4671365244612
2024-12-13,948.797638527881
2024-12-14,936.1063876603428
2024-12-15,949.9665325296121
2024-12-16,948.2552907059728
2024-12-17,949.9153523791344
2024-12-18,890.9001996729596
2024-12-19,859.3483800683817
2024-12-20,876.7302766677814
2024-12-21,858.4579098965545
2024-12-22,849.0058256231332
2024-12-23,869.9407254646462
2024-12-24,880.0109649756257
2024-12-25,874.3516992573747
2024-12-26,851.9129842445805
2024-12-27,848.1928087632858
2024-12-28,855.8401821908882
2024-12-29,839.3895209287942
2024-12-30,835.1270302878373
2024-12-31,836.2546014715355
2025-01-01,870.6236711122793
2025-01-02,877.6097723690939
2025-01-03,883.1584963586272
2025-01-04,878.9588899622445
2025-01-05,876.0744426089984
2025-01-06,881.4807378828049
2025-01-07,852.8110922276958
2025-01-08,864.1419711200128
2025-01-09,855.2190146717248
2025-01-10,862.7158512048311
2025-01-11,890.3897634225857
2025-01-12,881.0354622424876
2025-01-13,883.646850257493
2025-01-14,896.238049946651
2025-01-15,947.4421114398522
2025-01-16,958.8058140199751
2025-01-17,967.3200629805824
2025-01-18,962.9630165420293
2025-01-19,916.7636141881198
2025-01-20,934.0317565066218
2025-01-21,942.0793843658834
2025-01-22,942.694859512407
2025-01-23,935.7039908669879
2025-01-24,933.3698304056436
2025-01-25,934.3453004491905
2025-01-26,924.2306051166987
2025-01-27,921.6245404848005
2025-01-28,921.8567952570736
2025-01-29,922.8174654018378
2025-01-30,925.9308567476284
2025-01-31,915.2212581266223
2025-02-01,899.6799891070739
2025-02-02,874.7168966349352
2025-02-03,886.2366934183888
2025-02-04,873.8512866054713
2025-02-05,861.580223230406
2025-02-06,863.9655655120331
2025-02-07,864.1896607100612
2025-02-08,860.3932012817789
2025-02-09,861.6998167126769
2025-02-10,859.6334196859972
2025-02-11,857.9988836761456
2025-02-12,846.7043638268606
2025-02-13,847.9382328579625
2025-02-14,844.4540087937575
2025-02-15,847.7578915425819
2025-02-16,850.7476315571446
2025-02-17,848.9349790504529
2025-02-18,854.7653997719754
2025-02-19,849.7755794665081
2025-02-20,846.1451829173593
2025-02-21,852.4902666297497
2025-02-22,851.1145180833768
2025-02-23,850.5910537854901
2025-02-24,872.7838368229998
2025-02-25,868.6869657556697
2025-02-26,876.9117331321536
2025-02-27,877.2368747928133
2025-02-28,878.0167404307889
2025-03-01,877.6134101565948
2025-03-02,838.3274088326888
2025-03-03,862.4317846864112
2025-03-04,857.597912594419
2025-03-05,852.6465025733024
2025-03-06,849.2955609760222
2025-03-07,852.757174613956
2025-03-08,854.1744546667529
2025-03-09,870.6472622405756
2025-03-10,882.3744822110898
2025-03-11,870.8825877052448
2025-03-12,866.6642930685731
2025-03-13,867.797374823056
2025-03-14,860.3681403532878
2025-03-15,853.0507647886548
2025-03-16,859.5802726834061
2025-03-17,852.6490782844709
2025-03-18,854.4863460160431
2025-03-19,844.7324551348012
2025-03-20,849.5086814391343
2025-03-21,850.8583523028047
2025-03-22,848.9935342815456
2025-03-23,846.7277898310326
2025-03-24,843.6778299948177
